code,name,river,basin,state,district,division,lat,lon,rl_zero,warning_level,danger_level,hfl,hfl_date
002-MGD1LKN,Gaighat,Sarju(Babai),Ganga,Uttar Pradesh,BAHRAICH,"Middle Ganga Division-I(MGD-I), Lucknow",27.98805555555556,81.43305555555555,121.0,129.54,130.54,132.45,2014-08-15
002-MGD3VNS,Phaphamau,Ganga,Ganga,Uttar Pradesh,PRAYGRAJ,"Middle Ganga Division-III(MGD-III), Varanasi",25.504166666666663,81.86333333333333,0.0,83.734,84.734,87.98,1978-09-08
002-MGD4PTN,Lalbegiaghat,Burhi Gandak,Ganga,Bihar,PURBA CHAMPARAN,"Lower Ganga Division-I(LGD-I), Patna",26.65861111111111,85.01388888888889,55.0,62.2,63.2,67.09,1975-07-30
002-MGD5PTN,Dighaghat,Ganga,Ganga,Bihar,PATNA,"Lower Ganga Division-II(LGD-II), Patna",25.647777777777776,85.06527777777778,0.0,49.45,50.45,52.52,1975-08-23
002-NDBHP,Bamni,Banjar,Narmada,Madhya Pradesh,MANDLA,"Narmada Division(ND), Bhopal",22.485,80.37638888888888,436.0,,,448.5,1999-09-18
002-SHDSIM(a),MOORANG,Satluj,Indus,Himachal Pradesh,KINNAUR,"Snow Hydrology Division(SHD), Shimla",31.605861111111118,78.436,2264.0,,,2272.5,2018-08-09
002-SRDCBE,GUMMANUR,Ponnaiyar,East flowing rivers between Pennar and Kanyakumari,Tamil Nadu,Krishnagiri,"Southern River Division(SRD), Coimbatore",12.555,78.13833333333334,490.0,494.0,495.0,495.7,1991-10-31
002-SWRDKOCHI,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,Kerala,KANNUR,"Southern Western River Division(SWRD), Kochi",11.9823,75.58415833333333,3.47,17.2,18.2,18.28,2019-08-09
002-TDSURAT,RAJPIPLA,Karjan,Narmada,Gujarat,Narmada,"Executive Engineer, Tapi Division, Surat",21.87777777777778,73.46611111111112,17.0,,26.8,30.3,1994-09-07
002-UKDPUNE,Warunji,Koyna,Krishna,Maharashtra,Satara,"Upper Krishna Division(UKD), Pune",17.272777777777776,74.16472222222222,549.437,562.8,565.2,568.047,1976-06-06
002-jhelum,Sangam,Jhelum,Indus,Jammu & Kashmir,ANANTNAG,"Chenab Division(CD), Jammu",33.833333333333336,75.06694444444445,1577.5,1591.2,1592.42,1595.37,2014-09-07
002-mgd2lkn,Kachhla Bridge,Ganga,Ganga,Uttar Pradesh,BUDAUN,"Middle Ganga Division-II(MGD-II), Lucknow",27.931944444444447,78.8625,158.0,161.8,162.4,163.02,2025-08-11
002-midshl,Kharkhana,Myntudu,Barak and Others,Meghalaya,West Jaintia Hills,"Meghna Investigation Division(MID), Shillong",25.158055555555556,92.21083333333334,26.0,,,47.0,1995-04-23
002-neid2,Tuichawng,Tuichang,Minor rivers draining into Myanmar and Bangladesh,Mizoram,LUNGLEI,"North Eastern Investigation Division-II, Aizawal",22.915277777777774,92.52805555555555,31.0,,,,
002-ubddib,Tuting,Siang,Brahmaputra,Arunachal Pradesh,UPPER SIANG,"Upper Brahmaputra Division (UBD), Dibrugarh",28.995,94.88694444444444,400.0,,,435.95,2010-09-06
002-uyddel,Hathiari (Bausan),Yamuna,Ganga,Uttarakhand,Dehradun,"Upper Yamuna Division(UYD), New Delhi",30.51361111111111,77.92833333333334,511.0,,,518.1,2010-09-19
002-wgdngp,Kumhari,Wainganga,Godavari,Madhya Pradesh,BALAGHAT,"Wainganga Division(WD), Nagpur",21.884444444444444,80.17527777777778,289.0,,,308.0,1994-07-20
003-CDBNG,Haralahalli,Tungabhadra,Krishna,Karnataka,Haveri,"Cauvery Division, Bangaluru",14.830555555555556,75.67444444444445,507.436,514.0,514.5,518.346,1992-11-18
003-DDASL,Barkisuriya,Barakar,Ganga,Jharkhand,GIRIDIH,"Damodar Division(DD), Asansol",24.221944444444443,85.90111111111112,285.0,288.4,289.4,292.32,2004-09-17
003-ERDBWN,Jeypore,Burhabalang,Subernarekha,Odisha,MAYURBHANJ,"Eastern Rivers Division(ERD), Bhubaneswar",21.609166666666667,86.68333333333334,19.0,25.17,28.17,27.4,1999-10-31
003-HGDDDN,Nandkeshri,Pinder,Ganga,Uttarakhand,Chamoli,"Himalayan Ganga Division,Haridwar",30.039166666666667,79.56638888888888,1260.0,1267.0,1268.0,1267.4,2013-06-17
003-LBDJPG,PANBARI,Burisuti,Brahmaputra,Assam,Chirang,"Middle Brahmaputra Division (MBD), Guwahati",26.58833333333333,90.82916666666668,0.0,,,55.96,1988-08-28
003-LGD3BEH,CS 97 A GANGA FARAKKA,Ganga,Ganga,West Bengal,MURSHIDABAD,"Lower Ganga Division III(LGD-III), Berhampore",24.79083333333333,87.93666666666667,10.0,21.25,22.25,25.13,1998-09-07
