code,name
030-DDASL,Kangsabati Reservoir
042-SRDCBE,UPPER ANICUT
011-MBDGHY,Badarpurghat
008-SWRDKOCHI,KUMBIDI
024-MGD4PTN,Baltara
044-CDJAPR,Kota City
0025-SWRDKOCHI,Idamalayar Reservoir
034-LYDAGRA,RUPAS NAGAR
032-LGDHYD,Atreyapuram (Gauthami)
021-MBDGHY,Karimganj
T_Nambonbi-11,Thong Nambonbi_WLR
030-LYDAGRA,Matatila Reservoir
010214001,Chhasara
008-LYDAGRA,NAUTGHAT
032-TDSURAT,DAMAN
NBO-1-055-1259,Omkareshwar (NHPC) Reservoir
018-ukdpune,Kokangaon
013-MGD5PTN,Gangpur Siswan
010-ukdpune,Narsingpur
010213ub3,Amarpura
004-MGD5PTN,Hathidah
005-jhelum,Rammunshibagh (near Srinagar)
014-HGDDDN,Rishikesh
NAUKUCHIATAL1,NAUKUCHIATAL
0026-mgd3vns,Bansagar Dam
039-MGD4PTN,Indo-Nepal Border (Bhutahi)
01-10-09-001,Therriaghat
006-MGD3VNS,Varanasi
003-LBDJPG,PANBARI
003-LYDAGRa,DHOLPUR
003-MGD3VNS,Allahabad
0031-CDBNG,Harangi Reservoir
036-SRDCBE,Alandurai
NBO-2-050-1251,Kolar Reservoir
012-UGDHYD,Gangakhed W/L Station
042-DDASL,Hinglow Dam
022-SRDCBE,Vaigai Reservoir
016-TDSURAT,HATHNUR
004-MGD2LKN,Kannauj
031-SRDCBE,HARUR
010-mdsil,Sairang
GYN00N6,PACHAWALI
019-NDBHP,Gadarwara
038-UKDPUNE,Hidkal Reservoir
007-MGD5PTN,Kahalgaon
038-UYDDEL,Fateh Garh
029-LBDJPG,Hasimara
037-MDBURLA,Alipingal
023-CDJAPR,Palwa
028-TDSURAT,MADHUBAN DAM
BKA00D7,SONAPUR
014-MDSIL,KAILASHAHAR GDSQ SITE
003-UBDDIB,Yinkiang
022-NEID2,PANGKHUAH
014-LYDAGRA,BANDA
055-erdbwn,Salandi Reservoir
66,Sardar Sarovar Project_Gujarat Reservoir
001-UKDPUNE,Karad
041-mgd2lkn,Purwamir
006-MDSIL,GAJARIA
003-TDSURAT,Garudeshwar
Minuthong-12,Minuthong_WLR
032-UKDPUNE,Koyna
028-LGDHYD,Dowlaiswaram (State Govt Site)
058-mgd2lkn,Suyalbari
003-ugdhyd,Nasik
022-LBDJPG,DOMOHANI
025-DDASL,Gheropara
029-HGDDDN,Gaurikund
0038-ERDBWN,Chandil Dam
040-erdbwn,Srikakulam
024-ukdpune,Pen
013-DDASL	,Durgapur Barrage
046,Yazali
050-TDSURAT,SHIRPUR
009-UBDDIB,Namsai
033-UKDPUNE,Veer Dam
034-MGD2lkn,Meerganj
057-MGD3VNS,Koilari
CW1WEI000073,Pench Reservoir
039-LKDHYD,Singatalur Barrage
002-MGD3VNS,PHAPHAMAU
0102009002,Una
031-CDJAPR,Dubi
039-mdburla,Nimapara
006-MBDGHY,Puthimari NH Rd Xing
NBO-2-024-1225,Hathed at Misrod
036-UGDHYD,Yeldari Reservoir
028-ukdpune,Sarati
022-UBDDIB,Badatighat
066-MDBURLA,MURUMSILLI
0033-hydchennai,Chembarampakkam
022-mgd5ptn,Japla
024-LYDAGRA,RAJGHAT
